,id,created,title,url,latestprice,lowprice,notes
47,48,2021-10-20 21:20:20,Atomic-Habits-James-Clear,https://www.amazon.com/Atomic-Habits-James-Clear/dp/1847941834/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=,,,
48,49,2021-10-20 21:20:56,Rich Dad Poor Dad,https://www.amazon.com/dp/1612680178/ref=s9_acsd_otopr_hd_bw_b3_c2_x_3_t?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-11&pf_rd_r=RPV70GAFWH4QDTAECQKK&pf_rd_t=101&pf_rd_p=f109b5cc-cb6f-5c85-8d28-db3906edf350&pf_rd_i=3,,,
49,50,2021-10-20 21:22:00,Hands-Machine-Learning-Scikit-Learn-TensorFlow,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1492032646?ref_=ast_sto_dp,,,
50,51,2021-10-20 21:22:24,Start with Why,https://www.amazon.com/dp/1591846447/ref=s9_acsd_otopr_hd_bw_b3_c2_x_4_t?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-11&pf_rd_r=RPV70GAFWH4QDTAECQKK&pf_rd_t=101&pf_rd_p=f109b5cc-cb6f-5c85-8d28-db3906edf350&pf_rd_i=3,,,
51,52,2021-10-20 21:23:26,Daily-Laws-Meditations-Seduction-Strategy,https://www.amazon.com/Daily-Laws-Meditations-Seduction-Strategy/dp/0593299213/ref=lp_3_1_7?dchild=1,,,
52,53,2021-10-20 21:23:56,Effective Communication,https://www.amazon.com/dp/1672411459/ref=sspa_dk_detail_2?psc=1&pd_rd_i=1672411459&pd_rd_w=1wLH6&pf_rd_p=887084a2-5c34-4113-a4f8-b7947847c308&pd_rd_wg=ydHcn&pf_rd_r=R45JEHCF83FG72Z5DKSN&pd_rd_r=e6a90d01-1992-498e-aebc-4cbf2dbc6c6b&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzVUszM0pETTVCTDFPJmVuY3J5cHRlZElkPUEwMTMxMjc0MzI3MkxYTkJQRU5XWSZlbmNyeXB0ZWRBZElkPUEwMzQyOTg5MzNTTjRFTlBGNFRONSZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,,,
53,54,2021-10-20 21:24:30,Art-War-Sun-Tzu,https://www.amazon.com/Art-War-Sun-Tzu/dp/1599869772/ref=sr_1_1?dchild=1&keywords=art+of+war+sun+tzu&qid=1634765048&s=books&sr=1-1,,,
54,55,2021-10-20 21:25:29,PlayStation-Store-Gift-Card-Digital 100$,https://www.amazon.com/PlayStation-Store-Gift-Card-Digital/dp/B00K59HKIQ?ref_=Oct_d_otopr_d_468642&pd_rd_w=t2Vzs&pf_rd_p=8f269526-780e-4f8e-9daa-56fd73859d4c&pf_rd_r=NYZ0Z7C50TP6ZQWH612P&pd_rd_r=1fb93056-d76e-40b8-8a76-14879249c81e&pd_rd_wg=Li77j&pd_rd_i=B00K59HKIQ,,,
55,56,2021-10-20 21:26:01,Oculus Quest 2,https://www.amazon.com/Oculus-Quest-Advanced-All-One-Virtual/dp/B099VMT8VZ?ref_=Oct_d_otopr_d_468642&pd_rd_w=t2Vzs&pf_rd_p=8f269526-780e-4f8e-9daa-56fd73859d4c&pf_rd_r=NYZ0Z7C50TP6ZQWH612P&pd_rd_r=1fb93056-d76e-40b8-8a76-14879249c81e&pd_rd_wg=Li77j&pd_rd_i=B099VMT8VZ,,,
56,57,2021-10-20 21:26:20,PlayStation DualSense Wireless Controller,https://www.amazon.com/PlayStation-DualSense-Wireless-Controller-Midnight-5/dp/B094WL86N5?ref_=Oct_d_onr_d_468642&pd_rd_w=G4v9f&pf_rd_p=9493a408-b460-43d0-bc2e-eb7b6f6520ed&pf_rd_r=NYZ0Z7C50TP6ZQWH612P&pd_rd_r=1fb93056-d76e-40b8-8a76-14879249c81e&pd_rd_wg=Li77j&pd_rd_i=B094WL86N5,,,
